city_name,country,population,area,address
Nagoya,Japan,9175589,326.44,"Elm Street, House 8"
Delhi,India,31181376,1484.0,"Sunset Boulevard, House 97"
Saint Petersburg,Russia,5383890,1439.0,"Pine Road, House 53"
Montreal,Canada,1799994,365.13,"Park Lane, House 46"
Shanghai,China,24870895,6340.5,"Oak Drive, House 138"
Brasilia,Brazil,3039444,5802.0,"Broadway, House 73"
New York,USA,8419600,783.8,"High Street, House 2"
Nagoya,Japan,2295000,326.45,"Elm Street, House 34"
Toronto,Canada,2731571,630.2,"Pine Road, House 73"
Sao Paulo,Brazil,12325232,1521.0,"Park Lane, House 111"
Rio de Janeiro,Brazil,6748000,11823.0,"Park Lane, House 174"
Perth,Australia,2044891,6418.0,"Maple Avenue, House 153"
Lyon,France,522228,47.87,"Elm Street, House 153"
Melbourne,Australia,5086545,9992.5,"Sunset Boulevard, House 19"
Brasilia,Brazil,3039444,5802.0,"Oak Drive, House 128"
Los Angeles,USA,3980400,1302.0,"High Street, House 77"
